izo,rocnik,poznamka,ucivo,blok RVP,ucivo RVP
102004382,7,,gotické umění,KŘESŤANSTVÍ A STŘEDOVĚKÁ EVROPA,kultura středověké společnosti - románské a gotické umění a vzdělanost
102004382,7,,vzdělanost ve středověku,KŘESŤANSTVÍ A STŘEDOVĚKÁ EVROPA,kultura středověké společnosti - románské a gotické umění a vzdělanost
102004382,7,,renesance,OBJEVY A DOBÝVÁNÍ. POČÁTKY NOVÉ DOBY,"renesance, humanismus, husitství, reformace a jejich šíření Evropou"
102004382,7,,humanismus,OBJEVY A DOBÝVÁNÍ. POČÁTKY NOVÉ DOBY,"renesance, humanismus, husitství, reformace a jejich šíření Evropou"
102004382,7,,husitství,OBJEVY A DOBÝVÁNÍ. POČÁTKY NOVÉ DOBY,"renesance, humanismus, husitství, reformace a jejich šíření Evropou"
102004382,7,,reformace,OBJEVY A DOBÝVÁNÍ. POČÁTKY NOVÉ DOBY,"renesance, humanismus, husitství, reformace a jejich šíření Evropou"
102004382,7,,zámořské objevy,OBJEVY A DOBÝVÁNÍ. POČÁTKY NOVÉ DOBY,zámořské objevy a počátky dobývání světa
102004382,7,,počátky dobývání světa,OBJEVY A DOBÝVÁNÍ. POČÁTKY NOVÉ DOBY,zámořské objevy a počátky dobývání světa
102004382,7,,český stát v 15.-18. století,OBJEVY A DOBÝVÁNÍ. POČÁTKY NOVÉ DOBY,český stát a velmoci v 15.-18. století
102004382,7,,velmoci v 15.-18. století,OBJEVY A DOBÝVÁNÍ. POČÁTKY NOVÉ DOBY,český stát a velmoci v 15.-18. století
102004382,7,,barokní kultura,OBJEVY A DOBÝVÁNÍ. POČÁTKY NOVÉ DOBY,barokní kultura a osvícenství
102004382,7,,osvícenství,OBJEVY A DOBÝVÁNÍ. POČÁTKY NOVÉ DOBY,barokní kultura a osvícenství
102004382,7,,nástup Habsburků na český trůn,OBJEVY A DOBÝVÁNÍ. POČÁTKY NOVÉ DOBY,český stát a velmoci v 15.-18. století
102004382,7,,české stavovské povstání,OBJEVY A DOBÝVÁNÍ. POČÁTKY NOVÉ DOBY,český stát a velmoci v 15.-18. století
102004382,7,,třicetiletá válka,OBJEVY A DOBÝVÁNÍ. POČÁTKY NOVÉ DOBY,český stát a velmoci v 15.-18. století
102004382,7,,anglická revoluce,OBJEVY A DOBÝVÁNÍ. POČÁTKY NOVÉ DOBY,jiné
102004382,7,,absolutismus v Anglii,OBJEVY A DOBÝVÁNÍ. POČÁTKY NOVÉ DOBY,jiné
102004382,7,,absolutismus v Rusku,OBJEVY A DOBÝVÁNÍ. POČÁTKY NOVÉ DOBY,jiné
102004382,7,,umělecké slohy,JINÉ,jiné dějepisné téma
102004382,8,,,,
102004382,8,,struktura středověké společnosti,JINÉ,jiné dějepisné téma
102004382,8,,funkce jednotlivých vrstev,JINÉ,jiné dějepisné téma
102004382,8,,kultura středověké společnosti,JINÉ,jiné dějepisné téma
102004382,8,,románské umění,JINÉ,jiné dějepisné téma
102004382,8,,gotické umění,JINÉ,jiné dějepisné téma
102004382,8,,vzdělanost ve středověku,JINÉ,jiné dějepisné téma
102004382,8,,renesance,OBJEVY A DOBÝVÁNÍ. POČÁTKY NOVÉ DOBY,"renesance, humanismus, husitství, reformace a jejich šíření Evropou"
102004382,8,,humanismus,OBJEVY A DOBÝVÁNÍ. POČÁTKY NOVÉ DOBY,"renesance, humanismus, husitství, reformace a jejich šíření Evropou"
102004382,8,,husitství,OBJEVY A DOBÝVÁNÍ. POČÁTKY NOVÉ DOBY,"renesance, humanismus, husitství, reformace a jejich šíření Evropou"
102004382,8,,reformace,OBJEVY A DOBÝVÁNÍ. POČÁTKY NOVÉ DOBY,"renesance, humanismus, husitství, reformace a jejich šíření Evropou"
102004382,8,,šíření reformace Evropou,OBJEVY A DOBÝVÁNÍ. POČÁTKY NOVÉ DOBY,"renesance, humanismus, husitství, reformace a jejich šíření Evropou"
102004382,8,,zámořské objevy,OBJEVY A DOBÝVÁNÍ. POČÁTKY NOVÉ DOBY,zámořské objevy a počátky dobývání světa
102004382,8,,počátky dobývání světa,OBJEVY A DOBÝVÁNÍ. POČÁTKY NOVÉ DOBY,zámořské objevy a počátky dobývání světa
102004382,8,,český stát v 15. – 18. století,OBJEVY A DOBÝVÁNÍ. POČÁTKY NOVÉ DOBY,český stát a velmoci v 15.-18. století
102004382,8,,velmoci v 15. – 18. století,OBJEVY A DOBÝVÁNÍ. POČÁTKY NOVÉ DOBY,český stát a velmoci v 15.-18. století
102004382,8,,barokní kultura,OBJEVY A DOBÝVÁNÍ. POČÁTKY NOVÉ DOBY,barokní kultura a osvícenství
102004382,8,,osvícenství,OBJEVY A DOBÝVÁNÍ. POČÁTKY NOVÉ DOBY,barokní kultura a osvícenství
102004382,8,,nástup Habsburků na český trůn,OBJEVY A DOBÝVÁNÍ. POČÁTKY NOVÉ DOBY,český stát a velmoci v 15.-18. století
102004382,8,,české stavovské povstání,OBJEVY A DOBÝVÁNÍ. POČÁTKY NOVÉ DOBY,český stát a velmoci v 15.-18. století
102004382,8,,třicetiletá válka,OBJEVY A DOBÝVÁNÍ. POČÁTKY NOVÉ DOBY,český stát a velmoci v 15.-18. století
102004382,8,,anglická revoluce,MODERNIZACE SPOLEČNOSTI,"Velká francouzská revoluce a napoleonské období, jejich vliv na Evropu a svět; vznik USA"
102004382,8,,absolutismus v Anglii,MODERNIZACE SPOLEČNOSTI,"politické proudy (konzervativismus, liberalismus, demokratismus, socialismus), ústava, politické strany, občanská práva"
102004382,8,,absolutismus v Rusku,MODERNIZACE SPOLEČNOSTI,"politické proudy (konzervativismus, liberalismus, demokratismus, socialismus), ústava, politické strany, občanská práva"
102004382,8,,umělecké slohy,JINÉ,jiné dějepisné téma
102004382,8,,kulturní rozrůzněnost doby,MODERNIZACE SPOLEČNOSTI,kulturní rozrůzněnost doby
102004382,8,,konflikty mezi velmocemi,MODERNIZACE SPOLEČNOSTI,"konflikty mezi velmocemi, kolonialismus"
102004382,8,,kolonialismus,MODERNIZACE SPOLEČNOSTI,"konflikty mezi velmocemi, kolonialismus"
102004382,8,,první světová válka,MODERNÍ DOBA,"první světová válka a její politické, sociální a kulturní důsledky"
102004382,8,,politické důsledky první světové války,MODERNÍ DOBA,"první světová válka a její politické, sociální a kulturní důsledky"
102004382,8,,sociální důsledky první světové války,MODERNÍ DOBA,"první světová válka a její politické, sociální a kulturní důsledky"
102004382,8,,kulturní důsledky první světové války,MODERNÍ DOBA,"první světová válka a její politické, sociální a kulturní důsledky"
102004382,8,,světové velmoci na přelomu 19. a 20. století,MODERNIZACE SPOLEČNOSTI,"konflikty mezi velmocemi, kolonialismus"
102004382,9,,,,
102004382,9,,nové politické uspořádání Evropy,MODERNÍ DOBA,"nové politické uspořádání Evropy a úloha USA ve světě; vznik Československa, jeho hospodářsko-politický vývoj, sociální a národnostní problémy"
102004382,9,,úloha USA ve světě,MODERNÍ DOBA,"nové politické uspořádání Evropy a úloha USA ve světě; vznik Československa, jeho hospodářsko-politický vývoj, sociální a národnostní problémy"
102004382,9,,vznik Československa,MODERNÍ DOBA,"nové politické uspořádání Evropy a úloha USA ve světě; vznik Československa, jeho hospodářsko-politický vývoj, sociální a národnostní problémy"
102004382,9,,hospodářsko-politický vývoj Československa,MODERNÍ DOBA,"nové politické uspořádání Evropy a úloha USA ve světě; vznik Československa, jeho hospodářsko-politický vývoj, sociální a národnostní problémy"
102004382,9,,sociální problémy Československa,MODERNÍ DOBA,"nové politické uspořádání Evropy a úloha USA ve světě; vznik Československa, jeho hospodářsko-politický vývoj, sociální a národnostní problémy"
102004382,9,,národnostní problémy Československa,MODERNÍ DOBA,"nové politické uspořádání Evropy a úloha USA ve světě; vznik Československa, jeho hospodářsko-politický vývoj, sociální a národnostní problémy"
102004382,9,,mezinárodněpolitická situace ve 20. a 30. letech,MODERNÍ DOBA,"mezinárodněpolitická a hospodářská situace ve 20. a 30. letech; totalitní systémy - komunismus, fašismus, nacismus - důsledky pro Československo a svět"
102004382,9,,hospodářská situace ve 20. a 30. letech,MODERNÍ DOBA,"mezinárodněpolitická a hospodářská situace ve 20. a 30. letech; totalitní systémy - komunismus, fašismus, nacismus - důsledky pro Československo a svět"
102004382,9,,totalitní systémy,MODERNÍ DOBA,"mezinárodněpolitická a hospodářská situace ve 20. a 30. letech; totalitní systémy - komunismus, fašismus, nacismus - důsledky pro Československo a svět"
102004382,9,,komunismus,MODERNÍ DOBA,"mezinárodněpolitická a hospodářská situace ve 20. a 30. letech; totalitní systémy - komunismus, fašismus, nacismus - důsledky pro Československo a svět"
102004382,9,,fašismus,MODERNÍ DOBA,"mezinárodněpolitická a hospodářská situace ve 20. a 30. letech; totalitní systémy - komunismus, fašismus, nacismus - důsledky pro Československo a svět"
102004382,9,,nacismus,MODERNÍ DOBA,"mezinárodněpolitická a hospodářská situace ve 20. a 30. letech; totalitní systémy - komunismus, fašismus, nacismus - důsledky pro Československo a svět"
102004382,9,,důsledky totalitních systémů pro Československo,MODERNÍ DOBA,"mezinárodněpolitická a hospodářská situace ve 20. a 30. letech; totalitní systémy - komunismus, fašismus, nacismus - důsledky pro Československo a svět"
102004382,9,,důsledky totalitních systémů pro svět,MODERNÍ DOBA,"mezinárodněpolitická a hospodářská situace ve 20. a 30. letech; totalitní systémy - komunismus, fašismus, nacismus - důsledky pro Československo a svět"
102004382,9,,druhá světová válka,MODERNÍ DOBA,"druhá světová válka, holokaust; situace v našich zemích, domácí a zahraniční odboj; politické, mocenské a ekonomické důsledky války"
102004382,9,,holokaust,MODERNÍ DOBA,"druhá světová válka, holokaust; situace v našich zemích, domácí a zahraniční odboj; politické, mocenské a ekonomické důsledky války"
102004382,9,,situace v našich zemích během druhé světové války,MODERNÍ DOBA,"druhá světová válka, holokaust; situace v našich zemích, domácí a zahraniční odboj; politické, mocenské a ekonomické důsledky války"
102004382,9,,domácí odboj během druhé světové války,MODERNÍ DOBA,"druhá světová válka, holokaust; situace v našich zemích, domácí a zahraniční odboj; politické, mocenské a ekonomické důsledky války"
102004382,9,,zahraniční odboj během druhé světové války,MODERNÍ DOBA,"druhá světová válka, holokaust; situace v našich zemích, domácí a zahraniční odboj; politické, mocenské a ekonomické důsledky války"
102004382,9,,politické důsledky druhé světové války,MODERNÍ DOBA,"druhá světová válka, holokaust; situace v našich zemích, domácí a zahraniční odboj; politické, mocenské a ekonomické důsledky války"
102004382,9,,mocenské důsledky druhé světové války,MODERNÍ DOBA,"druhá světová válka, holokaust; situace v našich zemích, domácí a zahraniční odboj; politické, mocenské a ekonomické důsledky války"
102004382,9,,ekonomické důsledky druhé světové války,MODERNÍ DOBA,"druhá světová válka, holokaust; situace v našich zemích, domácí a zahraniční odboj; politické, mocenské a ekonomické důsledky války"
102004382,9,,studená válka,ROZDĚLENÝ A INTEGRUJÍCÍ SE SVĚT,"studená válka, rozdělení světa do vojenských bloků reprezentovaných supervelmocemi; politické, hospodářské, sociální a ideologické soupeření"
102004382,9,,rozdělení světa do vojenských bloků,ROZDĚLENÝ A INTEGRUJÍCÍ SE SVĚT,"studená válka, rozdělení světa do vojenských bloků reprezentovaných supervelmocemi; politické, hospodářské, sociální a ideologické soupeření"
102004382,9,,politické soupeření během studené války,ROZDĚLENÝ A INTEGRUJÍCÍ SE SVĚT,"studená válka, rozdělení světa do vojenských bloků reprezentovaných supervelmocemi; politické, hospodářské, sociální a ideologické soupeření"
102004382,9,,hospodářské soupeření během studené války,ROZDĚLENÝ A INTEGRUJÍCÍ SE SVĚT,"studená válka, rozdělení světa do vojenských bloků reprezentovaných supervelmocemi; politické, hospodářské, sociální a ideologické soupeření"
102004382,9,,sociální soupeření během studené války,ROZDĚLENÝ A INTEGRUJÍCÍ SE SVĚT,"studená válka, rozdělení světa do vojenských bloků reprezentovaných supervelmocemi; politické, hospodářské, sociální a ideologické soupeření"
102004382,9,,ideologické soupeření během studené války,ROZDĚLENÝ A INTEGRUJÍCÍ SE SVĚT,"studená válka, rozdělení světa do vojenských bloků reprezentovaných supervelmocemi; politické, hospodářské, sociální a ideologické soupeření"
102004382,9,,vnitřní situace v zemích východního bloku,ROZDĚLENÝ A INTEGRUJÍCÍ SE SVĚT,vnitřní situace v zemích východního bloku (na vybraných příkladech srovnání s charakteristikou západních zemí)
102004382,9,,srovnání s charakteristikou západních zemí,ROZDĚLENÝ A INTEGRUJÍCÍ SE SVĚT,vnitřní situace v zemích východního bloku (na vybraných příkladech srovnání s charakteristikou západních zemí)
102004382,9,,vývoj Československa od roku 1945 do roku 1989,ROZDĚLENÝ A INTEGRUJÍCÍ SE SVĚT,"vývoj Československa od roku 1945 do roku 1989, vznik České republiky"
102004382,9,,vznik České republiky,ROZDĚLENÝ A INTEGRUJÍCÍ SE SVĚT,"vývoj Československa od roku 1945 do roku 1989, vznik České republiky"
102004382,9,,rozpad koloniálního systému,ROZDĚLENÝ A INTEGRUJÍCÍ SE SVĚT,"rozpad koloniálního systému, mimoevropský svět"
102004382,9,,mimoevropský svět,ROZDĚLENÝ A INTEGRUJÍCÍ SE SVĚT,"rozpad koloniálního systému, mimoevropský svět"
102004382,9,,problémy současnosti,ROZDĚLENÝ A INTEGRUJÍCÍ SE SVĚT,problémy současnosti
102004382,9,,věda jako faktor vývoje,ROZDĚLENÝ A INTEGRUJÍCÍ SE SVĚT,"věda, technika a vzdělání jako faktory vývoje; sport a zábava"
102004382,9,,technika jako faktor vývoje,ROZDĚLENÝ A INTEGRUJÍCÍ SE SVĚT,"věda, technika a vzdělání jako faktory vývoje; sport a zábava"
102004382,9,,vzdělání jako faktor vývoje,ROZDĚLENÝ A INTEGRUJÍCÍ SE SVĚT,"věda, technika a vzdělání jako faktory vývoje; sport a zábava"
102004382,9,,sport a zábava,ROZDĚLENÝ A INTEGRUJÍCÍ SE SVĚT,"věda, technika a vzdělání jako faktory vývoje; sport a zábava"
102004404,6,,,,
102004404,6,,význam zkoumání dějin,ČLOVĚK V DĚJINÁCH,"význam zkoumání dějin, získávání informací o dějinách; historické prameny"
102004404,6,,získávání informací o dějinách,ČLOVĚK V DĚJINÁCH,"význam zkoumání dějin, získávání informací o dějinách; historické prameny"
102004404,6,,historické prameny,ČLOVĚK V DĚJINÁCH,"význam zkoumání dějin, získávání informací o dějinách; historické prameny"
102004404,6,,hmotné prameny,ČLOVĚK V DĚJINÁCH,"význam zkoumání dějin, získávání informací o dějinách; historické prameny"
102004404,6,,písemné prameny,ČLOVĚK V DĚJINÁCH,"význam zkoumání dějin, získávání informací o dějinách; historické prameny"
102004404,6,,pravěk,POČÁTKY LIDSKÉ SPOLEČNOSTI,člověk a lidská společnost v pravěku
102004404,6,,člověk a společnost v pravěku,POČÁTKY LIDSKÉ SPOLEČNOSTI,člověk a lidská společnost v pravěku
102004404,6,,doba kamenná,POČÁTKY LIDSKÉ SPOLEČNOSTI,člověk a lidská společnost v pravěku
102004404,6,,doba kovů,POČÁTKY LIDSKÉ SPOLEČNOSTI,člověk a lidská společnost v pravěku
102004404,6,,nejstarší starověké civilizace,NEJSTARŠÍ CIVILIZACE. KOŘENY EVROPSKÉ KULTURY,nejstarší starověké civilizace a jejich kulturní odkaz
102004404,6,,Mezopotámie,NEJSTARŠÍ CIVILIZACE. KOŘENY EVROPSKÉ KULTURY,nejstarší starověké civilizace a jejich kulturní odkaz
102004404,6,,Egypt,NEJSTARŠÍ CIVILIZACE. KOŘENY EVROPSKÉ KULTURY,nejstarší starověké civilizace a jejich kulturní odkaz
102004404,6,,charakteristické rysy oblasti,NEJSTARŠÍ CIVILIZACE. KOŘENY EVROPSKÉ KULTURY,nejstarší starověké civilizace a jejich kulturní odkaz
102004404,6,,náboženské představy,NEJSTARŠÍ CIVILIZACE. KOŘENY EVROPSKÉ KULTURY,nejstarší starověké civilizace a jejich kulturní odkaz
102004404,6,,počátek kultury a písma,NEJSTARŠÍ CIVILIZACE. KOŘENY EVROPSKÉ KULTURY,nejstarší starověké civilizace a jejich kulturní odkaz
102004404,6,,Řecko,NEJSTARŠÍ CIVILIZACE. KOŘENY EVROPSKÉ KULTURY,antické Řecko a Řím
102004404,6,,nejvýznamnější městské státy,NEJSTARŠÍ CIVILIZACE. KOŘENY EVROPSKÉ KULTURY,antické Řecko a Řím
102004404,6,,přínos antické kultury a vzdělanosti,NEJSTARŠÍ CIVILIZACE. KOŘENY EVROPSKÉ KULTURY,antické Řecko a Řím
102004404,6,,Řím,NEJSTARŠÍ CIVILIZACE. KOŘENY EVROPSKÉ KULTURY,antické Řecko a Řím
102004404,6,,království,NEJSTARŠÍ CIVILIZACE. KOŘENY EVROPSKÉ KULTURY,antické Řecko a Řím
102004404,6,,republika,NEJSTARŠÍ CIVILIZACE. KOŘENY EVROPSKÉ KULTURY,antické Řecko a Řím
102004404,6,,císařství,NEJSTARŠÍ CIVILIZACE. KOŘENY EVROPSKÉ KULTURY,antické Řecko a Řím
102004404,6,,počátky křesťanství,KŘESŤANSTVÍ A STŘEDOVĚKÁ EVROPA,"křesťanství, papežství, císařství, křížové výpravy"
102004404,7,,,,
102004404,7,,formování prvních státních celků v Evropě,KŘESŤANSTVÍ A STŘEDOVĚKÁ EVROPA,utváření států ve východoevropském a západoevropském kulturním okruhu a jejich specifický vývoj
102004404,7,,Velká Morava,KŘESŤANSTVÍ A STŘEDOVĚKÁ EVROPA,"Velká Morava a český stát, jejich vnitřní vývoj a postavení v Evropě"
102004404,7,,počátky českého státu,KŘESŤANSTVÍ A STŘEDOVĚKÁ EVROPA,"Velká Morava a český stát, jejich vnitřní vývoj a postavení v Evropě"
102004404,7,,křížové výpravy,KŘESŤANSTVÍ A STŘEDOVĚKÁ EVROPA,"křesťanství, papežství, císařství, křížové výpravy"
102004404,7,,husitství,OBJEVY A DOBÝVÁNÍ. POČÁTKY NOVÉ DOBY,"renesance, humanismus, husitství, reformace a jejich šíření Evropou"
102004404,7,,románská kultura,KŘESŤANSTVÍ A STŘEDOVĚKÁ EVROPA,kultura středověké společnosti - románské a gotické umění a vzdělanost
102004404,7,,gotická kultura,KŘESŤANSTVÍ A STŘEDOVĚKÁ EVROPA,kultura středověké společnosti - románské a gotické umění a vzdělanost
102004404,7,,rozvoj řemesel a obchodu,KŘESŤANSTVÍ A STŘEDOVĚKÁ EVROPA,jiné
102004404,7,,vznik měst,KŘESŤANSTVÍ A STŘEDOVĚKÁ EVROPA,jiné
102004404,7,,zakládání vesnic,KŘESŤANSTVÍ A STŘEDOVĚKÁ EVROPA,jiné
102004404,7,,český stát za vlády Přemyslovců,KŘESŤANSTVÍ A STŘEDOVĚKÁ EVROPA,"Velká Morava a český stát, jejich vnitřní vývoj a postavení v Evropě"
102004404,7,,český stát za vlády Lucemburků,KŘESŤANSTVÍ A STŘEDOVĚKÁ EVROPA,"Velká Morava a český stát, jejich vnitřní vývoj a postavení v Evropě"
102004404,7,,"vybrané osobnosti (Přemyslovci, Lucemburkové)",KŘESŤANSTVÍ A STŘEDOVĚKÁ EVROPA,jiné
102004404,7,,zámořské objevy,OBJEVY A DOBÝVÁNÍ. POČÁTKY NOVÉ DOBY,zámořské objevy a počátky dobývání světa
102004404,7,,renesance,OBJEVY A DOBÝVÁNÍ. POČÁTKY NOVÉ DOBY,"renesance, humanismus, husitství, reformace a jejich šíření Evropou"
102004404,7,,humanismus,OBJEVY A DOBÝVÁNÍ. POČÁTKY NOVÉ DOBY,"renesance, humanismus, husitství, reformace a jejich šíření Evropou"
102004404,7,,reformace,OBJEVY A DOBÝVÁNÍ. POČÁTKY NOVÉ DOBY,"renesance, humanismus, husitství, reformace a jejich šíření Evropou"
102004404,7,,české země po nástupu Habsburků,OBJEVY A DOBÝVÁNÍ. POČÁTKY NOVÉ DOBY,český stát a velmoci v 15.-18. století
102004404,8,,,,
102004404,8,,český stát v 15. - 17. století,OBJEVY A DOBÝVÁNÍ. POČÁTKY NOVÉ DOBY,český stát a velmoci v 15.-18. století
102004404,8,,velmoci v 15. - 17. století,OBJEVY A DOBÝVÁNÍ. POČÁTKY NOVÉ DOBY,český stát a velmoci v 15.-18. století
102004404,8,,třicetiletá válka,OBJEVY A DOBÝVÁNÍ. POČÁTKY NOVÉ DOBY,český stát a velmoci v 15.-18. století
102004404,8,,barokní kultura,OBJEVY A DOBÝVÁNÍ. POČÁTKY NOVÉ DOBY,barokní kultura a osvícenství
102004404,8,,osvícenství,OBJEVY A DOBÝVÁNÍ. POČÁTKY NOVÉ DOBY,barokní kultura a osvícenství
102004404,8,,vznik USA,MODERNIZACE SPOLEČNOSTI,"Velká francouzská revoluce a napoleonské období, jejich vliv na Evropu a svět; vznik USA"
102004404,8,,české země za vlády Marie Terezie a Josefa II.,MODERNIZACE SPOLEČNOSTI,národní hnutí velkých a malých národů; utváření novodobého českého národa
102004404,8,,Velká francouzská revoluce,MODERNIZACE SPOLEČNOSTI,"Velká francouzská revoluce a napoleonské období, jejich vliv na Evropu a svět; vznik USA"
102004404,8,,napoleonské období,MODERNIZACE SPOLEČNOSTI,"Velká francouzská revoluce a napoleonské období, jejich vliv na Evropu a svět; vznik USA"
102004404,8,,industrializace,MODERNIZACE SPOLEČNOSTI,industrializace a její důsledky pro společnost; sociální otázka
102004404,8,,modernizace společnosti,MODERNIZACE SPOLEČNOSTI,industrializace a její důsledky pro společnost; sociální otázka
102004404,8,,revoluce 19. století,MODERNIZACE SPOLEČNOSTI,"revoluce 19. století jako prostředek řešení politických, sociálních a národnostních problémů"
102004404,8,,utváření novodobého českého národa,MODERNIZACE SPOLEČNOSTI,národní hnutí velkých a malých národů; utváření novodobého českého národa
102004404,8,,imperialismus,MODERNIZACE SPOLEČNOSTI,"konflikty mezi velmocemi, kolonialismus"
102004404,8,,kolonialismus,MODERNIZACE SPOLEČNOSTI,"konflikty mezi velmocemi, kolonialismus"
102004404,8,,konflikty mezi velmocemi,MODERNIZACE SPOLEČNOSTI,"konflikty mezi velmocemi, kolonialismus"
102004404,8,,občanská válka v USA,MODERNIZACE SPOLEČNOSTI,jiné
102004404,8,,první světová válka,MODERNÍ DOBA,"první světová válka a její politické, sociální a kulturní důsledky"
102004404,8,,politické důsledky první světové války,MODERNÍ DOBA,"první světová válka a její politické, sociální a kulturní důsledky"
102004404,8,,sociální důsledky první světové války,MODERNÍ DOBA,"první světová válka a její politické, sociální a kulturní důsledky"
102004404,8,,kulturní důsledky první světové války,MODERNÍ DOBA,"první světová válka a její politické, sociální a kulturní důsledky"
102004404,8,,vznik Československa,MODERNÍ DOBA,"nové politické uspořádání Evropy a úloha USA ve světě; vznik Československa, jeho hospodářsko-politický vývoj, sociální a národnostní problémy"
102004404,8,,vývoj Československa,MODERNÍ DOBA,"nové politické uspořádání Evropy a úloha USA ve světě; vznik Československa, jeho hospodářsko-politický vývoj, sociální a národnostní problémy"
102004404,8,,problémy Československa,MODERNÍ DOBA,"nové politické uspořádání Evropy a úloha USA ve světě; vznik Československa, jeho hospodářsko-politický vývoj, sociální a národnostní problémy"
102004404,9,,,,
102004404,9,,Moderní doba,MODERNÍ DOBA,
102004404,9,,mezi dvěma válkami,MODERNÍ DOBA,
102004404,9,,2. světová válka,MODERNÍ DOBA,"druhá světová válka, holokaust; situace v našich zemích, domácí a zahraniční odboj; politické, mocenské a ekonomické důsledky války"
102004404,9,,mezinárodně politická situace ve 20. a 30. letech,MODERNÍ DOBA,"mezinárodněpolitická a hospodářská situace ve 20. a 30. letech; totalitní systémy - komunismus, fašismus, nacismus - důsledky pro Československo a svět"
102004404,9,,hospodářská situace ve 20. a 30. letech,MODERNÍ DOBA,"mezinárodněpolitická a hospodářská situace ve 20. a 30. letech; totalitní systémy - komunismus, fašismus, nacismus - důsledky pro Československo a svět"
102004404,9,,totalitní systémy,MODERNÍ DOBA,"mezinárodněpolitická a hospodářská situace ve 20. a 30. letech; totalitní systémy - komunismus, fašismus, nacismus - důsledky pro Československo a svět"
102004404,9,,komunismus,MODERNÍ DOBA,"mezinárodněpolitická a hospodářská situace ve 20. a 30. letech; totalitní systémy - komunismus, fašismus, nacismus - důsledky pro Československo a svět"
102004404,9,,fašismus,MODERNÍ DOBA,"mezinárodněpolitická a hospodářská situace ve 20. a 30. letech; totalitní systémy - komunismus, fašismus, nacismus - důsledky pro Československo a svět"
102004404,9,,nacismus,MODERNÍ DOBA,"mezinárodněpolitická a hospodářská situace ve 20. a 30. letech; totalitní systémy - komunismus, fašismus, nacismus - důsledky pro Československo a svět"
102004404,9,,důsledky pro Československo a svět,MODERNÍ DOBA,"mezinárodněpolitická a hospodářská situace ve 20. a 30. letech; totalitní systémy - komunismus, fašismus, nacismus - důsledky pro Československo a svět"
102004404,9,,holocaust,MODERNÍ DOBA,"druhá světová válka, holokaust; situace v našich zemích, domácí a zahraniční odboj; politické, mocenské a ekonomické důsledky války"
102004404,9,,situace v našich zemích,MODERNÍ DOBA,"druhá světová válka, holokaust; situace v našich zemích, domácí a zahraniční odboj; politické, mocenské a ekonomické důsledky války"
102004404,9,,důsledky války,MODERNÍ DOBA,"druhá světová válka, holokaust; situace v našich zemích, domácí a zahraniční odboj; politické, mocenské a ekonomické důsledky války"
102004404,9,,Rozdělený a integrující se svět,ROZDĚLENÝ A INTEGRUJÍCÍ SE SVĚT,
102004404,9,,Evropa a svět po roce 1945,ROZDĚLENÝ A INTEGRUJÍCÍ SE SVĚT,
102004404,9,,vývoj Československa od roku 1945 do roku 1989,ROZDĚLENÝ A INTEGRUJÍCÍ SE SVĚT,"vývoj Československa od roku 1945 do roku 1989, vznik České republiky"
102004404,9,,vznik České republiky,ROZDĚLENÝ A INTEGRUJÍCÍ SE SVĚT,"vývoj Československa od roku 1945 do roku 1989, vznik České republiky"
102004404,9,,vnitřní situace v zemích východního bloku,ROZDĚLENÝ A INTEGRUJÍCÍ SE SVĚT,vnitřní situace v zemích východního bloku (na vybraných příkladech srovnání s charakteristikou západních zemí)
102004404,9,,srovnání se západními zeměmi,ROZDĚLENÝ A INTEGRUJÍCÍ SE SVĚT,vnitřní situace v zemích východního bloku (na vybraných příkladech srovnání s charakteristikou západních zemí)
102004404,9,,postavení Československa,ROZDĚLENÝ A INTEGRUJÍCÍ SE SVĚT,
102004404,9,,začleňování do sféry vlivu SSSR,ROZDĚLENÝ A INTEGRUJÍCÍ SE SVĚT,
102004404,9,,projevy sovětizace,ROZDĚLENÝ A INTEGRUJÍCÍ SE SVĚT,
102004404,9,,studená válka,ROZDĚLENÝ A INTEGRUJÍCÍ SE SVĚT,"studená válka, rozdělení světa do vojenských bloků reprezentovaných supervelmocemi; politické, hospodářské, sociální a ideologické soupeření"
102004404,9,,rozdělení světa do vojenských bloků,ROZDĚLENÝ A INTEGRUJÍCÍ SE SVĚT,"studená válka, rozdělení světa do vojenských bloků reprezentovaných supervelmocemi; politické, hospodářské, sociální a ideologické soupeření"
102004404,9,,politické soupeření,ROZDĚLENÝ A INTEGRUJÍCÍ SE SVĚT,"studená válka, rozdělení světa do vojenských bloků reprezentovaných supervelmocemi; politické, hospodářské, sociální a ideologické soupeření"
102004404,9,,hospodářské soupeření,ROZDĚLENÝ A INTEGRUJÍCÍ SE SVĚT,"studená válka, rozdělení světa do vojenských bloků reprezentovaných supervelmocemi; politické, hospodářské, sociální a ideologické soupeření"
102004404,9,,ideologické soupeření,ROZDĚLENÝ A INTEGRUJÍCÍ SE SVĚT,"studená válka, rozdělení světa do vojenských bloků reprezentovaných supervelmocemi; politické, hospodářské, sociální a ideologické soupeření"
102004404,9,,problémy současnosti,ROZDĚLENÝ A INTEGRUJÍCÍ SE SVĚT,problémy současnosti
102005290,6,,,,
102005290,6,,Úvod do dějepisu,ČLOVĚK V DĚJINÁCH,"význam zkoumání dějin, získávání informací o dějinách; historické prameny"
